,P,MR,Cv,Cp,T,R
114,2428571.428571428,0.4510204081632653,9444.285068026744,12007.720730345696,1057.6614647222807,540.8589827759121
115,2530612.244897959,0.4510204081632653,9390.639885930344,11939.422848880757,1060.0106228713066,539.7187285350242
116,2632653.0612244895,0.4510204081632653,9339.173615770414,11873.830055018421,1062.2718632296087,538.6249358078566
117,2734693.87755102,0.4510204081632653,9289.722766743973,11810.74283523485,1064.4516343468692,537.574066521481
118,2836734.693877551,0.4510204081632653,9242.14213344641,11749.98369946843,1066.5556939378384,536.5629697605901
119,2938775.5102040814,0.4510204081632653,9196.301263816655,11691.392946586479,1068.5892045740302,535.5888273845767
120,3040816.326530612,0.4510204081632653,9152.082506692968,11634.826351067051,1070.556813493512,534.6491088855541
121,3142857.1428571427,0.4510204081632653,9109.380260555074,11580.154265784193,1072.4627191098518,533.7415334189822
122,3244897.9591836734,0.4510204081632653,9068.098093138542,11527.258165929466,1074.3107280161435,532.8640385444356
123,3346938.775510204,0.4510204081632653,9028.149212393444,11476.031217575539,1076.104301312018,532.0147525073613
124,3448979.5918367347,0.4510204081632653,8989.453624038026,11426.37486059824,1077.8465963488147,531.1919721073612
125,3551020.4081632653,0.4510204081632653,8951.939087800216,11378.199962622486,1079.540501047533,530.3941427611608
126,3653061.224489796,0.4510204081632653,8915.538733694702,11331.423943375703,1081.1886640298642,529.6198419336744
127,3755102.040816326,0.4510204081632653,8880.191318990197,11285.971090373117,1082.7935200976194,528.8677643744818
128,3857142.857142857,0.4510204081632653,8845.840769005008,11241.771997826174,1084.3573138412416,528.1367101368577
129,3959183.6734693875,0.4510204081632653,8812.435010320041,11198.762155217584,1085.8821172883765,527.42557273544
130,4061224.489795918,0.4510204081632653,8779.926070452202,11156.88208035333,1087.369848490994,526.7333302993642
131,4163265.3061224488,0.4510204081632653,8748.269255636726,11116.076304189395,1088.8222867453362,526.0590373482
132,4265306.122448979,0.4510204081632653,8717.423223441932,11076.293470507022,1090.241084546379,525.4018167606453
133,4367346.93877551,0.4510204081632653,8687.349917850457,11037.48625065852,1091.6277801332044,524.7608536968828
134,4469387.75510204,0.4510204081632653,8658.013025836088,10999.60948193213,1092.9838078964162,524.1353899786219
135,4571428.571428571,0.4510204081632653,8629.37971026171,10962.622242597863,1094.3105073429356,523.5247187213157
136,4673469.387755102,0.4510204081632653,8601.41841165023,10926.485221177805,1095.6091318707258,522.9281802185053
137,4775510.204081632,0.4510204081632653,8574.099961200263,10891.162030647974,1096.880854544239,522.3451570536731
138,4877551.020408163,0.4510204081632653,8547.39731163811,10856.61890081875,1098.1267765884984,521.7750714048644
139,4979591.8367346935,0.4510204081632653,8521.2843908933,10822.823282603174,1099.3479322983087,521.2173814035878
140,5081632.653061224,0.4510204081632653,8495.737489407882,10789.745522716083,1100.5452944471801,520.6715781402496
141,5183673.469387755,0.4510204081632653,8470.73369160248,10757.356966410298,1101.7197791707645,520.1371831972442
142,5285714.285714285,0.4510204081632653,8446.25152619183,10725.630749436561,1102.8722503261083,519.613746221476
143,5387755.102040816,0.4510204081632653,8422.271136473864,10694.54198444821,1104.0035233459394,519.1008427326454
144,5489795.918367347,0.4510204081632653,8398.77346748393,10664.066798511893,1105.1143688269892,518.5980722373965
145,5591836.734693877,0.4510204081632653,8375.74040727457,10634.182481127325,1106.205515802613,518.105056471496
146,5693877.551020408,0.4510204081632653,8353.154876119457,10604.867610804271,1107.2776546514726,517.6214377486191
147,5795918.367346939,0.4510204081632653,8331.001056024805,10576.102310512215,1108.331439860677,517.146877515129
148,5897959.183673469,0.4510204081632653,8309.263570299838,10547.867272651754,1109.3674923989602,516.6810550245766
149,6000000.0,0.4510204081632653,8287.928025357425,10520.144405191764,1110.3864020291028,516.2236660975536
150,1000000.0,0.5265306122448979,10335.675926938653,13178.943855036516,1030.3024383578388,560.132997195061
151,1102040.8163265307,0.5265306122448979,10222.16044128174,13040.003400971647,1035.7265908891916,557.5786428925301
152,1204081.6326530613,0.5265306122448979,10117.926093246788,12911.905210014898,1040.7056713190843,555.2462546202311
153,1306122.448979592,0.5265306122448979,10021.597222161945,12793.098163621966,1045.309123187401,553.100611311364
154,1408163.2653061224,0.5265306122448979,9932.078795197885,12682.337612614036,1049.5911383135096,551.1142742940966
155,1510204.081632653,0.5265306122448979,9848.491013027728,12578.616816616151,1053.5948434713807,549.2654470618883
156,1612244.8979591837,0.5265306122448979,9770.11503734393,12481.10828136094,1057.3551372928307,547.5365246148677
157,1714285.714285714,0.5265306122448979,9696.3552402989,12389.122714654543,1060.9006699026513,545.9130816664634
158,1816326.5306122447,0.5265306122448979,9626.709199215285,12302.075891938526,1064.2552598056552,544.3831497989377
159,1918367.3469387754,0.5265306122448979,9560.756300695706,12219.476635465864,1067.438927767302,542.9366879623116
160,2020408.163265306,0.5265306122448979,9498.135151787661,12140.901241775602,1070.468667304419,541.5651891072367
161,2122448.9795918367,0.5265306122448979,9438.533425271045,12065.98229485657,1073.359032056956,540.261383979845
162,2224489.7959183673,0.5265306122448979,9381.685410320293,11994.406077238265,1076.1225805984739,539.0190097382581
163,2326530.612244898,0.5265306122448979,9327.350451649632,11925.887727137655,1078.7702299526823,537.8326342010015
164,2428571.428571428,0.5265306122448979,9275.329293170013,11860.190518527292,1081.3115304170751,536.6975136986991
165,2530612.244897959,0.5265306122448979,9225.432315303944,11797.08891684562,1083.7548850698183,535.6094820336252
166,2632653.0612244895,0.5265306122448979,9177.50233890349,11736.395200901665,1086.107728983383,534.5648601217764
167,2734693.87755102,0.5265306122448979,9131.397601418197,11677.939731198829,1088.3766726267495,533.5603830309967
168,2836734.693877551,0.5265306122448979,9086.987503815442,11621.566009648144,1090.567619692082,532.5931399310263
169,2938775.5102040814,0.5265306122448979,9044.156356554944,11567.135055049788,1092.6858654205357,531.6605246940655
170,3040816.326530612,0.5265306122448979,9002.799969881773,11514.52145729959,1094.7361780495796,530.7601949159947
171,3142857.1428571427,0.5265306122448979,8962.824023390189,11463.611475405283,1096.722866404491,529.890037260857
172,3244897.9591836734,0.5265306122448979,8924.142960518133,11414.301754780114,1098.6498378961928,529.0481387750208
173,3346938.775510204,0.5265306122448979,8886.678986736108,11366.498156256508,1100.520646874048,528.2327621908867
174,3448979.5918367347,0.5265306122448979,8850.360623593442,11320.114050024655,1102.3385363316372,527.4423251812136
175,3551020.4081632653,0.5265306122448979,8815.123184939846,11275.070915289223,1104.1064732774744,526.6753823082928
176,3653061.224489796,0.5265306122448979,8780.90647969069,11231.295582273975,1105.827179532388,525.9306098846324
177,3755102.040816326,0.5265306122448979,8747.655855414458,11188.721515820827,1107.503158055865,525.2067925076583
178,3857142.857142857,0.5265306122448979,8715.320600552484,11147.286903974134,1109.1367159542376,524.5028116538496
179,3959183.6734693875,0.5265306122448979,8683.85371840978,11106.934379161336,1110.7299845252555,523.817635664385
180,4061224.489795918,0.5265306122448979,8653.211751637049,11067.610839254688,1112.2849370833671,523.150311101357
181,4163265.3061224488,0.5265306122448979,8623.354780050926,11029.267428851686,1113.8034032520352,522.4999545443783
182,4265306.122448979,0.5265306122448979,8594.245364440605,10991.858292584773,1115.2870839947675,521.8657465718361
183,4367346.93877551,0.5265306122448979,8565.848581858445,10955.340597280767,1116.7375626629823,521.246925349778
184,4469387.75510204,0.5265306122448979,8538.131896452978,10919.674405760597,1118.1563158710271,520.6427814451141
185,4571428.571428571,0.5265306122448979,8511.065291486215,10884.82281895401,1119.5447228866,520.0526530995085
186,4673469.387755102,0.5265306122448979,8484.620300724637,10850.750821145717,1120.9040741220736,519.4759221348321
187,4775510.204081632,0.5265306122448979,8458.770382658578,10817.425728174858,1122.2355785576685,518.9120101412113
188,4877551.020408163,0.5265306122448979,8433.490725440439,10784.8169583329,1123.5403705453346,518.3603751662505
189,4979591.8367346935,0.5265306122448979,8408.757786921691,10752.895464095287,1124.8195158553747,517.8205087494396
190,5081632.653061224,0.5265306122448979,8384.549664953258,10721.634199998807,1126.074017093636,517.2919331610867
191,5183673.469387755,0.5265306122448979,8360.84565346362,10691.007575022522,1127.304818669786,516.7741990297653
192,5285714.285714285,0.5265306122448979,8337.626081928145,10660.991263474338,1128.5128112101763,516.2668831342994
193,5387755.102040816,0.5265306122448979,8314.872836630326,10631.562828156631,1129.6988355788244,515.7695863741288
194,5489795.918367347,0.5265306122448979,8292.568378765602,10602.700544437394,1130.863686596324,515.2819320557579
195,5591836.734693877,0.5265306122448979,8270.696257122792,10574.384013477713,1132.0081162742456,514.8035641763867
196,5693877.551020408,0.5265306122448979,8249.240898016375,10546.593909848481,1133.1328369057449,514.3341459713054
197,5795918.367346939,0.5265306122448979,8228.187545167748,10519.311908613425,1134.2385238149302,513.8733585485375
198,5897959.183673469,0.5265306122448979,8207.522282096092,10492.520715932362,1135.3258178860985,513.4208996411155
199,6000000.0,0.5265306122448979,8187.231669098605,10466.20361697767,1136.3953278786846,512.9764825040494
200,1000000.0,0.6020408163265306,9889.935003483202,12639.811956146266,1050.343957785268,553.8039052240832
201,1102040.8163265307,0.6020408163265306,9792.896532997955,12523.487686965149,1055.9112089167486,551.4391579545351
202,1204081.6326530613,0.6020408163265306,9703.213048262522,12415.391483216546,1061.025038400356,549.2747744853556
203,1306122.448979592,0.6020408163265306,9619.88201866066,12314.470776587725,1065.7559816088212,547.2794211337655
204,1408163.2653061224,0.6020408163265306,9542.061951210722,12219.82536954293,1070.159106264836,545.4286168575157
